"State","County","Median Housing Value, 2024 ($)","Median Property Taxes Paid, 2024 ($)(5-Year Estimate)","Effective Property Tax Rate (2024)"
"Alabama","Autauga County","$207,200","627","0.28%"
"Alabama","Baldwin County","$316,900","960","0.29%"
"Alabama","Barbour County","$112,900","462","0.31%"
"Alabama","Bibb County","$145,700","298","0.20%"
"Alabama","Blount County","$175,200","523","0.27%"
"Alabama","Bullock County","$81,700","332","0.32%"
"Alabama","Butler County","$99,800","362","0.26%"
"Alabama","Calhoun County","$156,600","653","0.33%"
"Alabama","Chambers County","$135,800","523","0.29%"
"Alabama","Cherokee County","$179,700","688","0.32%"
"Alabama","Chilton County","$161,300","537","0.32%"
"Alabama","Choctaw County","$123,400","207","0.18%"
"Alabama","Clarke County","$121,700","396","0.28%"
"Alabama","Clay County","$156,700","331","0.20%"
"Alabama","Cleburne County","$165,600","486","0.24%"
"Alabama","Coffee County","$188,600","677","0.30%"
"Alabama","Colbert County","$171,000","678","0.30%"
"Alabama","Conecuh County","$105,300","331","0.25%"
"Alabama","Coosa County","$115,500","315","0.20%"
"Alabama","Covington County","$152,100","397","0.20%"
"Alabama","Crenshaw County","$114,000","369","0.28%"
"Alabama","Cullman County","$199,100","516","0.21%"
"Alabama","Dale County","$143,500","457","0.28%"
"Alabama","Dallas County","$94,600","392","0.36%"
"Alabama","DeKalb County","$152,700","496","0.24%"
"Alabama","Elmore County","$223,900","610","0.25%"
"Alabama","Escambia County","$136,500","530","0.27%"
"Alabama","Etowah County","$167,100","645","0.32%"
"Alabama","Fayette County","$125,900","355","0.21%"
"Alabama","Franklin County","$136,000","433","0.33%"
"Alabama","Geneva County","$130,700","447","0.24%"
"Alabama","Greene County","$81,200","444","0.24%"
"Alabama","Hale County","$127,600","406","0.19%"
"Alabama","Henry County","$161,000","553","0.25%"
"Alabama","Houston County","$183,300","562","0.29%"
"Alabama","Jackson County","$159,500","480","0.25%"
"Alabama","Jefferson County","$240,000","1409","0.58%"
"Alabama","Lamar County","$114,000","274","0.24%"
"Alabama","Lauderdale County","$200,300","757","0.32%"
"Alabama","Lawrence County","$172,300","497","0.25%"
"Alabama","Lee County","$262,200","1252","0.39%"
